French,English
un,a
à,to
en,in
le,the
et,and
être,be
de,of
avoir,to have
que,that
ne,born
dans,in
ce,this
il,he
qui,who
pas,not
pour,for
sur,on
se,se
son,her
plus,more
pouvoir,power
par,by
je,i
avec,with
tout,all
faire,to do
nous,we
mettre,put
autre,other
on,we
mais,but
leur,their
comme,as
ou,or
si,whether
avant,before
y,y
dire,say
elle,she
devoir,duty
donner,give
deux,two
même,even
prendre,take
où,or
aussi,also
celui,that's why i wrote to you
bien,good
cela,that
fois,time
vous,you
encore,again
vouloir,to want
nouveau,new
aller,go
entre,between
premier,first
aucun,none
déjà,already
grand,big
mon,my
me,me
moins,less
quelque,some
lui,him
temps,time
très,very
savoir,know
falloir,to need
voir,see
notre,our
sans,without
dont,of which
raison,raison
monde,world
non,no
monsieur,sir
an,year
jour,day
trouver,find
demander,ask
alors,so
après,after
venir,come
personne,person
rendre,render
part,go
dernier,last
lequel,which
pendant,during
passer,pass
peu,little
depuis,since
suite,following
bon,good
comprendre,to understand
rester,stay
point,point
ainsi,thus
heure,hour
